Macro Genre,Sub Genres
OfTheYear,"['ProducerOfTheYearClassical', 'BestNewArtist', 'AlbumOfTheYear', 'AlbumOfTheYearClassical', 'SongOfTheYear', 'RecordOfTheYear', 'ProducerOfTheYearNonClassical']"
PopDanceElectronic,"['BestMalePopVocalPerformance', 'BestTraditionalPopVocalAlbum', 'BestFemalePopVocalPerformance', 'BestPopInstrumentalPerformanceByAnArrangerComposerOrchestraAnd/orChoralLeader', 'BestPopDuo/groupPerformance', 'BestPopInstrumentalPerformance', 'BestLatinPopAlbum', 'BestPopSoloPerformance', 'BestPopCollaborationWithVocals', 'BestPop/contemporaryGospelAlbum', 'BestDance/electronicAlbum', 'BestPopVocalAlbum', 'BestDance/electronicRecording']"
RockMetalAlternative,"['BestRockSong', 'BestUrban/alternativePerformance', 'BestAlternativeMusicAlbum', 'BestRockAlbum', 'BestRockGospelAlbum', 'BestFemaleRockVocalPerformance', 'BestLatinRockOrAlternativeAlbum', 'BestMetalPerformance', 'BestRockPerformance', 'BestMaleRockVocalPerformance', 'BestHardRockPerformance', 'BestAlternativeMusicPerformance', 'BestRockInstrumentalPerformance', 'BestRockSoloVocalPerformance', 'BestRockPerformanceByADuoOrGroupWithVocal', 'BestHardRock/metalPerformance']"
RnBRapSpokenWordPoetry,"['BestRapPerformanceByADuoOrGroup', 'BestContemporaryR&bGospelAlbum', 'BestRapAlbum', 'BestR&bAlbum', 'BestContemporaryR&bAlbum', 'BestRapSong', 'BestR&bSong', 'BestR&bPerformance', 'BestR&bSoloVocalPerformanceMaleOrFemale', 'BestRap/sungPerformance', 'BestMaleRapSoloPerformance', 'BestRapPerformance', 'BestMaleR&bVocalPerformance', 'BestSpokenWordPoetryAlbum', 'BestR&bInstrumentalPerformance', 'BestTraditionalR&bPerformance', 'BestFemaleRapSoloPerformance', 'BestR&bPerformanceByADuoOrGroupWithVocals', 'BestRapSoloPerformance', 'BestFemaleR&bVocalPerformance']"
JazzTraditionalPopContemporaryInstrumentalMusicalTheater,"['BestJazzVocalPerformance', 'BestJazzVocalPerformanceMale', 'BestJazzInstrumentalSolo', 'BestJazzInstrumentalAlbum', 'BestLargeJazzEnsembleAlbum', 'BestOriginalJazzComposition', 'BestJazzVocalPerformanceFemale', 'BestContemporaryJazzAlbum', 'BestLatinJazzAlbum', 'BestJazzVocalAlbum', 'BestJazzFusionPerformance', 'BestJazzPerformance', 'BestJazzVocalPerformanceDuoOrGroup']"
CountryAmericanRoots,"['BestFolkAlbum', 'BestCountrySoloPerformance', 'BestCountrySong', 'BestMexican/mexicanAmericanAlbum', 'BestCountryCollaborationWithVocals', 'BestContemporaryFolkAlbum', 'BestFemaleCountryVocalPerformance', 'BestEthnicOrTraditionalFolkRecording', 'BestCountryInstrumentalPerformance', 'BestTraditionalFolkAlbum', 'BestAmericanaAlbum', 'BestCountryDuo/groupPerformance', 'BestSouthernCountryOrBluegrassGospelAlbum', 'BestMaleCountryVocalPerformance', 'BestCountryAlbum', 'BestBluegrassAlbum']"
GospelContemporaryChristian,"['BestSoulGospelPerformanceFemale', 'BestContemporaryChristianMusicPerformance/song', 'BestTraditionalSoulGospelAlbum', 'BestGospelPerformanceContemporaryOrInsprirational', 'BestGospelChoirOrChorusAlbum', 'BestSoulGospelPerformanceContemporary', 'BestRootsGospelAlbum', 'BestGospelAlbum', 'BestSoulGospelPerformanceMaleOrFemale', 'BestGospelVocalPerformanceMale', 'BestGospelPerformance/song', 'BestSoulGospelPerformanceByADuoOrGroup', 'BestSoulGospelPerformanceTraditional', 'BestSoulGospelPerformanceMale', 'BestContemporaryChristianMusicSong', 'BestGospelVocalPerformanceFemale', 'BestContemporaryChristianMusicAlbum', 'BestSoulGospelPerformance', 'BestGospelSong']"
LatinGlobalReggaeNewAgeAmbientChant,"['BestGlobalMusicAlbum', 'BestTraditionalTropicalLatinAlbum', 'BestLatinUrbanAlbum', 'BestReggaeAlbum', 'BestLatinRecording', 'BestTropicalLatinAlbum']"
ChildrensComedyAudioBooksVisualMediaMusicVideoFilm,"['BestSpokenWordAlbumForChildren', 'BestMusicFilm', 'BestChildrensMusicAlbum', 'BestAlbumForChildren', 'BestComedyAlbum']"
PackageNotesHistorical,"['BestBoxedOrSpecialLimitedEditionPackage', 'BestAlbumNotes', 'BestHistoricalAlbum', 'BestRecordingPackage']"
ProductionEngineeringCompositionArrangement,"['BestContemporaryClassicalComposition', 'BestArrangementAccompanyingVocalist(s)OrInstrumentalist(s)', 'BestEngineeredRecordingSpecialOrNovelEffects', 'BestArrangementInstrumentalOrACappella', 'BestArrangement', 'BestEngineeredAlbumNonClassical', 'BestVocalArrangementForTwoOrMoreVoices', 'BestArrangementInstrumentsAndVocals', 'BestArrangementForVoices', 'BestInstrumentalComposition', 'BestEngineeredAlbumClassical']"
Classical,"['BestPerformanceByAnOrchestraOrInstrumentalistWithOrchestra', 'BestClassicalAlbum', 'BestNewClassicalArtist', 'BestClassicalCrossoverAlbum', 'BestClassicalInstrumentalSolo', 'BestPerformanceByAnOrchestraForDancing', 'BestOperaRecording', 'BestClassicalCompendium', 'BestOrchestralPerformance', 'BestClassicalSoloVocalAlbum']"
Other,"['BestContemporarySong', 'BestMusicVideo', 'BestSalsa/merengueAlbum', 'BestNativeAmericanMusicAlbum', 'BestTraditionalBluesAlbum', 'BestAmericanRootsSong', 'BestRegionalMexicanAlbum', 'TrusteesAward', 'LifetimeAchievementAward', 'BestOriginalScoreWrittenForAMotionPictureOrTelevisionShow', 'BestChoralPerformance', 'BestNewAgeAlbum', 'BestContemporaryInstrumentalAlbum', 'BestBandaAlbum', 'BestRegionalRootsMusicAlbum', 'BestChamberMusic/smallEnsemblePerformance', 'BestBandaOrNorteñoAlbum', 'BestScoreFromAnOriginalCastShowAlbum', 'BestHawaiianMusicAlbum', 'BestMerengueAlbum', 'BestPolkaAlbum', 'BestSpokenWordAlbum', 'BestZydecoOrCajunMusicAlbum', 'BestRemixedRecording', 'BestScoreSoundtrackAlbumForVisualMedia', 'BestMusicalTheaterAlbum', 'BestDiscoRecording', 'BestCompilationSoundtrackForVisualMedia', 'BestInspirationalPerformance', 'BestImmersiveAudioAlbum', 'BestPerformanceByAChorus', 'BestNorteñoAlbum', 'BestContemporaryPerformanceByAChorus', 'BestBluesAlbum', 'BestSongWrittenForVisualMedia', 'BestPerformanceByAVocalGroup', 'BestTejanoAlbum', 'BestContemporaryBluesAlbum', 'BestAmericanRootsPerformance', 'BestSalsaAlbum', 'BestInstrumentalPerformance']"
