Macro Genre,Sub Genres
Ambient,"ambient folk, ambient techno, ambient worship, compositional ambient"
Baroque,"baroque ensemble, baroque pop, german baroque"
Blues,"acoustic blues, blues-rock, british blues, canadian blues, chicago blues, country blues, delta blues, electric blues, harmonica blues, jazz blues, jump blues, louisiana blues, memphis blues, modern blues, modern blues rock, new orleans blues, norwegian blues, piano blues, piedmont blues, psychedelic blues-rock, punk blues, rhythm and blues, soul blues, southern soul blues, swamp blues, texas blues, traditional blues"
Children's Music,"australian children's music, kids dance party"
Classical,"american contemporary classical, american modern classical, british modern classical, canadian classical, classical bass, classical cello, classical era, classical flute, classical mandolin, classical mezzo-soprano, classical organ, classical performance, classical piano, classical soprano, classical tenor, classical trumpet, contemporary classical, early modern classical, greek contemporary classical, hindustani classical, icelandic classical, indian classical, irish contemporary classical, latin classical, neo classical metal, neo-classical, neoclassical, polish classical, polish contemporary classical, russian contemporary classical"
Comedy,"british comedy, canadian comedy, clean comedy, comedy rock, deep comedy"
Contemporary,"american contemporary classical, canadian contemporary country, canadian contemporary r&b, contemporary classical, contemporary country, contemporary gospel, contemporary jazz, contemporary post-bop, deep contemporary country, greek contemporary classical, irish contemporary classical, polish contemporary classical, russian contemporary classical, uk contemporary r&b, urban contemporary"
Country,"alberta country, alternative country, arkansas country, australian country, canadian contemporary country, canadian country, contemporary country, country blues, country dawn, country gospel, country pop, country rap, country road, country rock, deep contemporary country, german country, irish country, modern country rock, neo-traditional country, outlaw country, texas country, traditional country"
Electronic,"acid house, afro dancehall, afro house, alternative dance, ambient techno, australian dance, australian house, bass house, belgian dance, brazilian house, british dance band, bubblegum dance, canadian electronic, chicago house, christian dance, dance pop, dance rock, dance-punk, dancehall, dark techno, deep dance pop, deep disco house, deep euro house, deep eurodance, deep groove house, deep house, deep minimal techno, deep tropical house, deep vocal house, destroy techno, detroit house, disco house, diva house, dusseldorf electronic, dutch house, electro house, electronic rock, electronic trap, eurodance, fidget house, filter house, funky tech house, future house, german dance, german techno, hamburg electronic, hardcore techno, hip house, house, intelligent dance music, irish dance, italo dance, italo house, kids dance party, kwaito house, mexican electronic, microhouse, minimal techno, nordic house, nz electronic, old school dancehall, pop house, progressive electro house, progressive house, progressive trance house, scottish electronic, swedish electronic, swedish tropical house, tech house, tribal house, tropical house, uk dance, uk experimental electronic, uk house, vintage french electronic, vocal house, witch house"
Experimental,"experimental hip hop, experimental pop, experimental rock, uk experimental electronic"
Folk,"ambient folk, american folk revival, anti-folk, appalachian folk, arab folk, british folk, canadian folk, ectofolk, folk brasileiro, folk metal, folk punk, folk rock, folk-pop, folkmusik, folktronica, freak folk, indian folk, indie anthem-folk, indie folk, irish folk, medieval folk, nl folk, pop folk, psychedelic folk, russian folk, spanish folk, traditional british folk, traditional folk"
Funk,"brit funk, deep funk, deep g funk, funk carioca, funk das antigas, funk metal, funk ostentacao, funk rock, funky breaks, funky tech house, future funk, g funk, instrumental funk, jazz funk, liquid funk, neurofunk, new orleans funk, p funk, uk funky"
Gospel,"alternative ccm, ambient worship, anthem worship, brazilian gospel, canadian ccm, ccm, christian a cappella, christian alternative rock, christian dance, christian deathcore, christian hard rock, christian hardcore, christian hip hop, christian indie, christian metal, christian music, christian pop, christian punk, christian relaxative, christian rock, christian trap, christian uplift, contemporary gospel, country gospel, deep ccm, deep christian rock, deep latin christian, family gospel, french worship, gospel r&b, gospel rap, gospel reggae, gospel singers, haitian gospel, latin worship, naija worship, rock gospel brasileiro, roots worship, russian ccm, southern gospel, tagalog worship, uk worship, world worship, worship"
