artist_id,name,followers,genres,popularity,uri,href,external_urls,images
0Uo6kyjrbQoZBlcXsMb8Vm,Field Mob,272134,"atl hip hop, dirty south rap, old school atlanta hip hop",47,spotify:artist:0Uo6kyjrbQoZBlcXsMb8Vm,https://api.spotify.com/v1/artists/0Uo6kyjrbQoZBlcXsMb8Vm,https://open.spotify.com/artist/0Uo6kyjrbQoZBlcXsMb8Vm,"https://i.scdn.co/image/cc5491ff832e63f08f9b51d580fb5821670e4fd0, https://i.scdn.co/image/e333670220126192f7911853abdcb17a6f1b43f3, https://i.scdn.co/image/d4438d06132f14e41961839221ebc273f5b293d3, https://i.scdn.co/image/0fdf3e63c843aaff1e0afddad0092a62e8d360ca"
2idymNTKUdnTxforkb12Mw,Matthew Sweet,76252,"alternative rock, jangle pop, laboratorio, power pop, underground power pop",41,spotify:artist:2idymNTKUdnTxforkb12Mw,https://api.spotify.com/v1/artists/2idymNTKUdnTxforkb12Mw,https://open.spotify.com/artist/2idymNTKUdnTxforkb12Mw,"https://i.scdn.co/image/ab6761610000e5eb3aae2c02fba2299b23fdebaf, https://i.scdn.co/image/ab676161000051743aae2c02fba2299b23fdebaf, https://i.scdn.co/image/ab6761610000f1783aae2c02fba2299b23fdebaf"
4NVjldBwjF0DzudAiLvti0,New Hollow,6018,,26,spotify:artist:4NVjldBwjF0DzudAiLvti0,https://api.spotify.com/v1/artists/4NVjldBwjF0DzudAiLvti0,https://open.spotify.com/artist/4NVjldBwjF0DzudAiLvti0,"https://i.scdn.co/image/ab6761610000e5ebe57a06bb3e9b2f486dcb3b79, https://i.scdn.co/image/ab67616100005174e57a06bb3e9b2f486dcb3b79, https://i.scdn.co/image/ab6761610000f178e57a06bb3e9b2f486dcb3b79"
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,33683129,"rap, slap house",94,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY,"https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71, https://i.scdn.co/image/ab6761610000517419c2790744c792d05570bb71, https://i.scdn.co/image/ab6761610000f17819c2790744c792d05570bb71"
4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire",4479345,"disco, funk, jazz funk, motown, soul",76,spotify:artist:4QQgXkCYTt3BlENzhyNETg,https://api.spotify.com/v1/artists/4QQgXkCYTt3BlENzhyNETg,https://open.spotify.com/artist/4QQgXkCYTt3BlENzhyNETg,"https://i.scdn.co/image/ab6761610000e5eb9722e16a886767adf1178f92, https://i.scdn.co/image/ab676161000051749722e16a886767adf1178f92, https://i.scdn.co/image/ab6761610000f1789722e16a886767adf1178f92"
27KgjAw4Jjgp0vpHDCupos,Charlie Ryan And The Timberline Riders,12,,0,spotify:artist:27KgjAw4Jjgp0vpHDCupos,https://api.spotify.com/v1/artists/27KgjAw4Jjgp0vpHDCupos,https://open.spotify.com/artist/27KgjAw4Jjgp0vpHDCupos,
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,20536459,pop,83,spotify:artist:69GGBxA162lTqCwzJG5jLp,https://api.spotify.com/v1/artists/69GGBxA162lTqCwzJG5jLp,https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp,"https://i.scdn.co/image/ab6761610000e5eb44434ab91c37f5407f8e83b6, https://i.scdn.co/image/ab6761610000517444434ab91c37f5407f8e83b6, https://i.scdn.co/image/ab6761610000f17844434ab91c37f5407f8e83b6"
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,100425011,pop,92,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,"https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0, https://i.scdn.co/image/ab6761610000517440b5c07ab77b6b1a9075fdc0, https://i.scdn.co/image/ab6761610000f17840b5c07ab77b6b1a9075fdc0"
7tLLSEaHMMJPbsYAz8MkEw,Blue Magic,251561,"classic soul, funk, motown, philly soul, quiet storm, soul, southern soul",43,spotify:artist:7tLLSEaHMMJPbsYAz8MkEw,https://api.spotify.com/v1/artists/7tLLSEaHMMJPbsYAz8MkEw,https://open.spotify.com/artist/7tLLSEaHMMJPbsYAz8MkEw,"https://i.scdn.co/image/6195b23ffb571534704463ceec5c2d9d0cf0d1f1, https://i.scdn.co/image/1d6d0269618719439229701fca0b4d5d342dff04, https://i.scdn.co/image/6448545d8be103edcf2a822cb4a3b761aa9ef954"
0pqGj6vO9YHsXuZmaJaP2Y,Jan & Dean,118516,"bubblegum pop, classic garage rock, doo-wop, rock-and-roll, rockabilly, sunshine pop, surf music",40,spotify:artist:0pqGj6vO9YHsXuZmaJaP2Y,https://api.spotify.com/v1/artists/0pqGj6vO9YHsXuZmaJaP2Y,https://open.spotify.com/artist/0pqGj6vO9YHsXuZmaJaP2Y,"https://i.scdn.co/image/d942ea459d3ec957eaf3ddcb427fa33b6dd7a337, https://i.scdn.co/image/e45ee116a4636769b3566d7c7193375b867be7cb, https://i.scdn.co/image/00f3baa71e30e8daef366a4de200bfe7052dd7eb, https://i.scdn.co/image/ae65363438504cf4a3690b99429e2384cfb4777f"
