song_title,performer,track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
"""B"" Girls",Young And Restless,7LPhKXBVAZ2Vlef8iDJqUh,0.591,0.878,0.777,8.45e-05,2,0.0872,-6.14,1,0.0739,130.041,4,0.84
"""Cherry Cherry"" from Hot August Night",Neil Diamond,18ocy9Be9SxWEEnOLGDfkS,0.101,0.341,0.948,0.00148,9,0.874,-5.081,1,0.136,171.578,4,0.632
"""Having A Party"" Medley",The Ovations (Featuring Louis Williams),,,,,,,,,,,,,
"""Joy"" Pt. I",Isaac Hayes,0M6XERzJwekV5xPGnPWPgu,0.0908,0.478,0.753,0.00107,5,0.107,-11.245,0,0.114,168.266,4,0.861
"""Roots"" Medley",Quincy Jones,,,,,,,,,,,,,
"""Yep!""",Duane Eddy His Twangy Guitar And The Rebels,6tlrASBUbLuGLmMdOcqfWM,0.63,0.475,0.695,0.502,2,0.229,-9.966,1,0.0351,134.938,4,0.859
#1 Dee Jay,Goody Goody,0MzHSJl9bHQiNPufYxJaab,0.0536,0.859,0.376,0.0963,7,0.0605,-16.542,0,0.0439,127.202,4,0.902
#1,Nelly,7rSj5gEdN5KgHwbnEVAZ4b,0.0237,0.69,0.589,0,7,0.56,-5.979,1,0.304,179.98,4,0.461
#9 Dream,John Lennon,4ZVWvCUwsOnIGmJMj71RkG,0.0744,0.406,0.597,0.0133,0,0.254,-11.745,1,0.0336,115.474,4,0.478
#Beautiful,Mariah Carey Featuring Miguel,1ahAuX3F6tDdNRfMdiLsv6,0.322,0.443,0.755,0,4,0.298,-5.333,1,0.119,214.13,4,0.431
#SELFIE,The Chainsmokers,1HOlb9rdNOmy9b1Fakicjo,0.0135,0.789,0.916,8.09e-06,0,0.077,-3.262,1,0.249,127.956,4,0.658
#thatPOWER,will.i.am Featuring Justin Bieber,01TuObJVd7owWchVRuQbQw,0.00112,0.797,0.607,7.52e-05,6,0.0748,-6.096,0,0.0585,128.01,4,0.399
$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,1TkWsnheqK0gBtvh07BtNX,0.114,0.858,0.697,0,2,0.224,-5.361,1,0.23,98.013,4,0.364
