genre
-
8-bit
a cappella
abstract beats
abstract hip hop
acid house
acid jazz
acoustic blues
acoustic opm
acoustic pop
acoustic punk
adoracao
adult standards
african rock
afrikaans
afro dancehall
afro house
afrobeat
afropop
alabama indie
alabama metal
alabama rap
alaska indie
alberta country
album rock
albuquerque indie
alt-idol
alternative americana
alternative ccm
alternative country
alternative dance
alternative emo
alternative hip hop
alternative metal
alternative pop
alternative pop rock
alternative r&b
alternative rock
alternative roots rock
ambeat
ambient
ambient folk
ambient techno
ambient worship
american choir
american contemporary classical
american folk revival
american modern classical
american post-rock
american romanticism
american shoegaze
anarcho-punk
anglican liturgy
anime
anime score
ann arbor indie
anthem emo
anthem worship
anti-folk
antiviral pop
appalachian folk
arab folk
argentine punk
argentine rock
arkansas country
art pop
art rock
athens indie
atl hip hop
atl trap
atlanta indie
atmosphere
atmospheric black metal
atmospheric post-metal
atmospheric sludge
auckland indie
audiophile vocal
aussietronica
austindie
australian alternative rock
australian americana
australian children's music
australian country
australian dance
australian electropop
australian hip hop
australian house
australian indie
australian jazz
australian metal
australian metalcore
australian pop
australian post-hardcore
australian psych
australian r&b
australian reggae fusion
australian rock
australian talent show
australian trap
australian underground hip hop
austropop
avant-garde
avant-garde jazz
avantgarde metal
axe
azonto
bachata
background music
bagpipe
baile pop
balearic
ballroom
baltimore indie
banda
banda caliente
banjo
baroque
baroque ensemble
baroque pop
bass house
bass trap
bass trip
basshall
bassline
bath indie
baton rouge rap
battle rap
bay area indie
bboy
beach music
bebop
bedroom pop
belgian dance
belgian edm
belgian indie
belgian modern jazz
belgian pop
belgian rock
beninese pop
bergen indie
big band
big beat
big room
birmingham grime
birmingham metal
black metal
black thrash
blackgaze
blaskapelle
bluegrass
blues
blues-rock
bmore
bolero
boogaloo
boogie-woogie
boom bap
bossa nova
bossa nova jazz
boston hardcore
boston hip hop
boston metal
boston punk
boston rock
bounce
bouzouki
bow pop
boy band
boy pop
brass band
brazilian edm
brazilian gospel
brazilian hip hop
brazilian house
brazilian indie
brazilian metal
brazilian punk
brazilian reggae
brazilian rock
brazilian thrash metal
breakbeat
brighton indie
brill building pop
brit funk
british alternative rock
british black metal
british blues
british brass band
british choir
british comedy
british dance band
british folk
british indie rock
british invasion
british jazz
british modern classical
british post-rock
british singer-songwriter
british soul
british soundtrack
britpop
broadway
brooklyn indie
brostep
brutal death metal
brutal deathcore
bubble trance
bubblegum dance
bubblegum pop
buffalo ny indie
buffalo ny metal
c86
cabaret
cali rap
calypso
canadian blues
canadian ccm
canadian celtic
canadian classical
canadian comedy
canadian contemporary country
canadian contemporary r&b
canadian country
canadian electronic
canadian electropop
canadian folk
canadian hardcore
canadian hip hop
canadian indie
canadian indigenous
canadian latin
canadian metal
canadian modern jazz
canadian pop
canadian pop punk
canadian post-hardcore
canadian post-rock
canadian punk
canadian rock
canadian singer-songwriter
canadian soundtrack
candy pop
cantautor
canterbury scene
canzone napoletana
cape town indie
cartoon
catstep
ccm
cedm
cello
celtic
celtic metal
celtic punk
celtic rock
chamber orchestra
chamber pop
chamber psych
champeta
channel islands indie
channel pop
chanson
chanson quebecois
chaotic hardcore
charlotte nc indie
charlottesville indie
chicago blues
chicago drill
chicago hardcore
chicago house
chicago indie
chicago pop punk
chicago punk
chicago rap
chicago soul
chicano rap
children's music
chillhop
chillwave
chinese hip hop
chinese idol pop
chiptune
choral
choro
christelijk
christian a cappella
christian alternative rock
christian dance
christian deathcore
christian hard rock
christian hardcore
christian hip hop
christian indie
christian metal
christian music
christian pop
christian punk
christian relaxative
christian rock
christian trap
christian uplift
christmas product
chutney
cincinnati indie
cinematic post-rock
classic belgian pop
classic bollywood
classic canadian rock
classic danish pop
